Driver,LapNumber,LapTime,Compound,TyreLife,Year,EventName,RoundNumber,SessionType
VER,1.0,,MEDIUM,1.0,2023,Bahrain Grand Prix,1,FP1
VER,2.0,0 days 00:01:35.429000,MEDIUM,2.0,2023,Bahrain Grand Prix,1,FP1
VER,3.0,,MEDIUM,3.0,2023,Bahrain Grand Prix,1,FP1
VER,4.0,,MEDIUM,4.0,2023,Bahrain Grand Prix,1,FP1
VER,5.0,0 days 00:01:53.662000,MEDIUM,5.0,2023,Bahrain Grand Prix,1,FP1
VER,6.0,,SOFT,1.0,2023,Bahrain Grand Prix,1,FP1
VER,7.0,0 days 00:01:33.375000,SOFT,2.0,2023,Bahrain Grand Prix,1,FP1
VER,8.0,0 days 00:02:08.682000,SOFT,3.0,2023,Bahrain Grand Prix,1,FP1
VER,9.0,,SOFT,4.0,2023,Bahrain Grand Prix,1,FP1
VER,10.0,0 days 00:01:37.900000,SOFT,5.0,2023,Bahrain Grand Prix,1,FP1
VER,11.0,0 days 00:01:37.980000,SOFT,6.0,2023,Bahrain Grand Prix,1,FP1
VER,12.0,0 days 00:01:38.171000,SOFT,7.0,2023,Bahrain Grand Prix,1,FP1
VER,13.0,0 days 00:01:38.574000,SOFT,8.0,2023,Bahrain Grand Prix,1,FP1
VER,14.0,0 days 00:01:38.474000,SOFT,9.0,2023,Bahrain Grand Prix,1,FP1
VER,15.0,0 days 00:01:38.338000,SOFT,10.0,2023,Bahrain Grand Prix,1,FP1
VER,16.0,0 days 00:01:38.842000,SOFT,11.0,2023,Bahrain Grand Prix,1,FP1
VER,17.0,0 days 00:01:38.561000,SOFT,12.0,2023,Bahrain Grand Prix,1,FP1
VER,18.0,0 days 00:01:38.623000,SOFT,13.0,2023,Bahrain Grand Prix,1,FP1
VER,19.0,0 days 00:01:39.250000,SOFT,14.0,2023,Bahrain Grand Prix,1,FP1
VER,20.0,,SOFT,15.0,2023,Bahrain Grand Prix,1,FP1
VER,21.0,0 days 00:02:12.826000,SOFT,16.0,2023,Bahrain Grand Prix,1,FP1
SAR,1.0,,HARD,1.0,2023,Bahrain Grand Prix,1,FP1
SAR,2.0,,HARD,2.0,2023,Bahrain Grand Prix,1,FP1
SAR,3.0,0 days 00:01:36.507000,HARD,3.0,2023,Bahrain Grand Prix,1,FP1
SAR,4.0,0 days 00:02:08.672000,HARD,4.0,2023,Bahrain Grand Prix,1,FP1
SAR,5.0,0 days 00:01:36.102000,HARD,5.0,2023,Bahrain Grand Prix,1,FP1
SAR,6.0,0 days 00:02:15.353000,HARD,6.0,2023,Bahrain Grand Prix,1,FP1
SAR,7.0,0 days 00:01:36.159000,HARD,7.0,2023,Bahrain Grand Prix,1,FP1
SAR,8.0,0 days 00:02:00.859000,HARD,8.0,2023,Bahrain Grand Prix,1,FP1
SAR,9.0,,MEDIUM,1.0,2023,Bahrain Grand Prix,1,FP1
SAR,10.0,0 days 00:01:35.749000,MEDIUM,2.0,2023,Bahrain Grand Prix,1,FP1
SAR,11.0,0 days 00:02:18.895000,MEDIUM,3.0,2023,Bahrain Grand Prix,1,FP1
SAR,12.0,0 days 00:01:35.984000,MEDIUM,4.0,2023,Bahrain Grand Prix,1,FP1
SAR,13.0,0 days 00:01:58.118000,MEDIUM,5.0,2023,Bahrain Grand Prix,1,FP1
SAR,14.0,,HARD,9.0,2023,Bahrain Grand Prix,1,FP1
SAR,15.0,0 days 00:01:39.347000,HARD,10.0,2023,Bahrain Grand Prix,1,FP1
SAR,16.0,0 days 00:01:39.926000,HARD,11.0,2023,Bahrain Grand Prix,1,FP1
SAR,17.0,0 days 00:01:39.984000,HARD,12.0,2023,Bahrain Grand Prix,1,FP1
SAR,18.0,0 days 00:01:40.198000,HARD,13.0,2023,Bahrain Grand Prix,1,FP1
SAR,19.0,0 days 00:01:39.963000,HARD,14.0,2023,Bahrain Grand Prix,1,FP1
SAR,20.0,0 days 00:01:40.484000,HARD,15.0,2023,Bahrain Grand Prix,1,FP1
SAR,21.0,0 days 00:01:40.262000,HARD,16.0,2023,Bahrain Grand Prix,1,FP1
SAR,22.0,0 days 00:01:40.255000,HARD,17.0,2023,Bahrain Grand Prix,1,FP1
SAR,23.0,0 days 00:02:15.872000,HARD,18.0,2023,Bahrain Grand Prix,1,FP1
